36675;Valtice město
36685;Velké Meziříčí
36695;Martinice u Velkého Meziříčí
36705;Oslavice
36715;Oslavička
36725;Budišov u Třebíče
36735;Rudíkov
36745;Velké Meziříčí zastávka
36765;Velké Pavlovice
36775;Bořetice
36785;Velké Pavlovice zastávka
36795;Veselí nad Moravou
36805;Vizovice
36815;Zádveřice
36825;Vladislav
36835;Vlkoš
36846;Vlkov-Osová
36855;Níhov
36865;Osová Bítýška
36875;Vranovice
36895;Vyškov na Moravě
36905;Zaječí
36915;Zastávka u Brna
36925;Rosice u Brna
36935;Zdounky
36945;Zborovice
36955;Znojmo
36965;Citonice
36985;Zborovice zastávka
37015;Žďár n.S.
37025;Veselíčko
37035;Hamry nad Sázavou
37045;Radňovice
37055;Lípa nad Dřevnicí
37065;Želechovice nad Dřevnicí
37075;Židlochovice
37085;Sudoměřice nad Moravou
37095;Strážnice
37105;Petrov u Strážnice
37115;Vnorovy
37125;Blatnice pod Svatým Antonínkem
37135;Lipov
37145;Velká nad Veličkou
37155;Louka u Ostrohu
37175;Javorník nad Veličkou zastávka
37185;Vlárský průsmyk
37205;Veselí nad Moravou-Zarazice
37795;Veselí nad Moravou-Milokošť
38002;Český Těšín
38006;Třemešná ve Sl. ú.r.
38015;Brno dolní nádraží
38034;Ostrava hl. n.
38154;Ostrava-důl Zárubek
51229;Velemín
51239;Velemín, Dobkovičky
53006;Praha-Běchovice střed
53011;Dobšice nad Cidlinou
53014;Všetaty
53016;Praha-Běchovice
53018;Mělník
53020;Lípa nad Orlicí
53021;Sány
53024;Dřísy
53026;Praha-Žvahov
53028;Malý Újezd
53030;Převýšov
53034;Ovčáry
53036;Praha-Dolní Počernice
53044;Stará Boleslav
53046;Úvaly
53048;Mělník-Mlazice
53050;Chlumec nad Cidlinou
53054;Otradovice
53056;Praha-Klánovice
53058;Liběchov
53060;Nové Město nad Cidlinou
53066;Český Brod
53069;Štětí
53070;Káranice
53076;Tuklaty
53079;Hoštka
53080;Dobřenice
53086;Rostoklaty
53089;Polepy
53090;Kratonohy
53096;Poříčany
53100;Lhota pod Libčany
53106;Klučov
53109;Křešice u Litoměřic
53110;Praskačka
53114;Lysá nad Labem
53116;Pečky
53119;Litoměřice město
53120;Hradec Král. hl. n.
53124;Lysá nad Labem-Dvorce
53126;Tatce
53129;Velké Žernoseky
53130;Hradec Králové-Kukleny
53134;Kostomlaty nad Labem
53136;Radim
53139;Libochovany
53140;Hradec Králové-Slezské Předměstí
53144;Stratov
53146;Chotutice
53149;Sebuzín
53150;Hradec Králové zastávka
53154;Ostrá
53156;Velim
53159;Ústí n.L. západ
53160;Třebechovice pod Orebem
53166;Cerhenice
53170;Blešno
53176;Nová Ves u Kolína
53179;Ústí n. L. hl. n.
53180;Týniště nad Orlicí
53186;Karlštejn
53190;Petrovice nad Orlicí
53196;Srbsko
53199;Ústí nad Labem sever
53200;Častolovice
53206;Zadní Třebaň
53209;Ústí n.L.-Střekov
53210;Čestice
53214;Nymburk hl. n.
53216;Řevnice
53220;Častolovice zastávka
53221;Praha-Rajská zahrada
53224;Kamenné Zboží
53226;Dobřichovice
53230;Synkov
53234;Poděbrady
53236;Všenory
53239;Trmice
53240;Kostelec nad Orlicí
53244;Velké Zboží
53246;Černošice-Mokropsy
53249;Koštov
53250;Kostelec nad Orlicí město
53254;Libice nad Cidlinou
53256;Praha-Radotín
53260;Doudleby nad Orlicí
53266;Černošice
53270;Záměl
53280;Potštejn
53287;Trnovany
53289;Teplice v Čechách
53290;Sopotnice
53299;Proboštov
53300;Litice nad Orlicí
53307;Veletice
53309;Řetenice
53310;Bohousová
53314;Velký Osek
53320;Žamberk
53324;Veltruby
53327;Holedeček
53330;Letohrad
53337;Měcholupy
53339;Duchcov
53340;Lukavice v Čechách
53347;Želeč
53349;Želénky
53350;Verměřovice
53356;Milostín
53359;Chotějovice
53360;Dolní Dobrouč
53367;Deštnice
53370;Hnátnice
53376;Krupá
53380;Lanšperk
53386;Mutějovice zastávka
53390;Dolní Libchavy
53396;Kolešovice
53399;Most
53400;Jablonné nad Orlicí
53404;Hluboký Důl
53406;Přílepy
53409;Třebušice
53410;Jamné nad Orlicí
53414;Kolín
53416;Kněževes
53420;Těchonín
53424;Kolín zastávka
53426;Chrášťany zastávka
53430;Lichkov
53434;Kolín-Zálabí
53436;Olešná u Rakovníka
53440;Černovír
53444;Kolín místní nádraží
53450;Mladkov
53454;Záboří n.L.
53456;Lužná u Rakovníka
53460;Dolní Lipka
53464;Starý Kolín
53466;Rakovník zastávka
53470;Prostřední Lipka
53474;Týnec nad Labem
53476;Řevničov
53480;Červený Potok
53483;Řečany n.L.
53484;Kolín dílny
